n l estimated_time estimated_memory time_phase_i real_memory_usage virt_memory_usage time_all_attack trials idx_message
31, 8, NAN, 12.37kb, 0.000011sec, RES=3508kb, VmSize=190828kb, 0.000043sec, 0, 255
31, 9, NAN, 24.66kb, 0.000021sec, RES=3508kb, VmSize=190828kb, 0.000048sec, 0, 511
31, 10, NAN, 49.23kb, 0.000044sec, RES=3508kb, VmSize=190828kb, 0.000072sec, 0, 1023
31, 11, NAN, 98.38kb, 0.000088sec, RES=3508kb, VmSize=190828kb, 0.000114sec, 0, 2047
31, 12, NAN, 196.69kb, 0.000178sec, RES=3508kb, VmSize=190828kb, 0.000204sec, 0, 4095
31, 13, NAN, 393.30kb, 0.000360sec, RES=3508kb, VmSize=190828kb, 0.000388sec, 0, 8191
31, 14, NAN, 786.51kb, 0.000722sec, RES=3508kb, VmSize=190828kb, 0.000751sec, 0, 16383
31, 15, NAN, 1572.94kb, 0.001642sec, RES=4032kb, VmSize=191596kb, 0.001677sec, 0, 32767
32, 1, NAN, 0.18kb, 0.000000sec, RES=4032kb, VmSize=191596kb, 0.000027sec, 0, 1
32, 2, NAN, 0.27kb, 0.000000sec, RES=4032kb, VmSize=191596kb, 0.000026sec, 0, 3
32, 3, NAN, 0.46kb, 0.000000sec, RES=4032kb, VmSize=191596kb, 0.000025sec, 0, 7
32, 4, NAN, 0.85kb, 0.000001sec, RES=4032kb, VmSize=191596kb, 0.000029sec, 0, 15
